system,Benchmark,model,method,sample,pass_rate,problem
pa19-result,JavaBench,gpt-5.4-mini,SWE-Agent-Mini,sample1,0.76,PA19
pa19-result,JavaBench,gpt-5.4-mini,SWE-Agent-Mini,sample2,0.82,PA19
pa19-result,JavaBench,gpt-5.4-mini,SWE-Agent-Mini,sample3,0.7,PA19
pa19-result,JavaBench,gpt-5.4-mini,SWE-Agent-Mini,sample4,0.82,PA19
pa19-result,JavaBench,gpt-5.4-mini,SWE-Agent-Mini,sample5,0.84,PA19
pa19-result,JavaBench,gemini-3.1-flash-lite,SWE-Agent-Mini,sample1,0.74,PA19
pa19-result,JavaBench,gemini-3.1-flash-lite,SWE-Agent-Mini,sample2,0.86,PA19
pa19-result,JavaBench,gemini-3.1-flash-lite,SWE-Agent-Mini,sample3,0.8,PA19
pa19-result,JavaBench,gemini-3.1-flash-lite,SWE-Agent-Mini,sample4,0.72,PA19
pa19-result,JavaBench,qwen3.6-flash,SWE-Agent-Mini,sample1,0.86,PA19
pa19-result,JavaBench,qwen3.6-flash,SWE-Agent-Mini,sample2,0,PA19
pa19-result,JavaBench,qwen3.6-flash,SWE-Agent-Mini,sample3,0,PA19
pa19-result,JavaBench,qwen3.6-flash,SWE-Agent-Mini,sample4,0.94,PA19
pa19-result,JavaBench,qwen3.6-flash,SWE-Agent-Mini,sample5,0.94,PA19
pa19-result,JavaBench,deepseek-v4-flash,SWE-Agent-Mini,sample1,0.92,PA19
pa19-result,JavaBench,deepseek-v4-flash,SWE-Agent-Mini,sample2,0.98,PA19
pa19-result,JavaBench,deepseek-v4-flash,SWE-Agent-Mini,sample3,0.98,PA19
pa19-result,JavaBench,deepseek-v4-flash,SWE-Agent-Mini,sample4,0.98,PA19
pa19-result,JavaBench,deepseek-v4-flash,SWE-Agent-Mini,sample5,0.98,PA19
pa19-result,JavaBench,minimax-m3,SWE-Agent-Mini,sample1,0.94,PA19
pa19-result,JavaBench,minimax-m3,SWE-Agent-Mini,sample2,0.98,PA19
pa19-result,JavaBench,minimax-m3,SWE-Agent-Mini,sample3,0.96,PA19
pa19-result,JavaBench,minimax-m3,SWE-Agent-Mini,sample4,0,PA19
pa19-result,JavaBench,minimax-m3,SWE-Agent-Mini,sample5,0.88,PA19
pa20-result,JavaBench,gpt-5.4-mini,SWE-Agent-Mini,sample1,0.1556,PA20
pa20-result,JavaBench,gpt-5.4-mini,SWE-Agent-Mini,sample2,0.1556,PA20
pa20-result,JavaBench,gpt-5.4-mini,SWE-Agent-Mini,sample3,0.1556,PA20
pa20-result,JavaBench,gpt-5.4-mini,SWE-Agent-Mini,sample4,0.1556,PA20
pa20-result,JavaBench,gpt-5.4-mini,SWE-Agent-Mini,sample5,0.1556,PA20
pa19-result,JavaBench,gemini-3.1-flash-lite,SWE-Agent-Mini,sample5,0.72,PA19
pa20-result,JavaBench,gemini-3.1-flash-lite,SWE-Agent-Mini,sample1,0.1111,PA20
pa20-result,JavaBench,gemini-3.1-flash-lite,SWE-Agent-Mini,sample2,0.1111,PA20
pa20-result,JavaBench,gemini-3.1-flash-lite,SWE-Agent-Mini,sample3,0.1556,PA20
pa20-result,JavaBench,gemini-3.1-flash-lite,SWE-Agent-Mini,sample4,0,PA20
pa20-result,JavaBench,qwen3.6-flash,SWE-Agent-Mini,sample1,0,PA20
pa20-result,JavaBench,qwen3.6-flash,SWE-Agent-Mini,sample2,0,PA20
pa20-result,JavaBench,qwen3.6-flash,SWE-Agent-Mini,sample3,0,PA20
pa20-result,JavaBench,qwen3.6-flash,SWE-Agent-Mini,sample4,0,PA20
